text,label
"Shopper from Saint John, NB viewed Lenovo ThinkCentre M710t 10M9000RUS Desktop Computer 3 minutes ago!",1
Used Leica Cameras,0
I have green eyes and with these bright green contacts makes my eyes look out of this world amazing. I love them and they have lasted months!!,0
Jamie from Eloy United States purchased a CBD Oil Vape Additives 4 Pack About 7 hours ago,1
"Samuel in Minneapolis, United States purchased a Pod Juice Jewel Mint Cool ❄️Nicotine Salt e-Liquid 15/30ml 7 hours ago",1
Over 238 people have bought this product,1
Clarity Remotes,0
LIMITED TIME OFFER MEN'S CHINOS & 5-POCKET PANTS BUY 2 FOR $59.90 EACH SHOP NOW,1
Rachel Comey,0
"Only 3 left, order soon",1
1 people bought Jotter To Do Refill in the last few hours,1
A very fun outfit for a less formal event like a sangeet! Husband said the bell bottom type pants were fun to dance in :),0
PopGrip MagSafe Refine by Product Type: PopGrip MagSafe,0
"... It covers love and loss, friendship and pain through",0
"NO THANKS, I'D RATHER PAY FULL PRICE",1
Shop All NFL,0
Speed Lace Accessory Kit - Silver,0
Almost Sold Out! Only 2 Left.,1
"The site was easy to navigate. I haven't received my shoes yet, but overall a good experience.",0
Build your own powerful multi-vendor marketplace website,0
ONLY 8 LEFT,1
Vintage Fancy Red Bracelet Watch Women's,0
International Shipping Policy,0
OFFER ENDS IN: 00:32:04 TIME IS RUNNING OUT!,1
Enter your email VIEW MY CODE OFFER EXPIRES IN: 0 minutes 00 seconds EXTRA 10% OFF,1
We are currently accepting and processing orders from following:,0
Chatting,0
"Here for a limited time. 4.5"" Red Bottle Sticker w/ Adam's Logo",1
View All Shoes,0
Engine Cooling System,0
"Nice choice. Did you know you’re missing out on these deals with the item in your cart. Suit + Shirt + Tie now $599.99* - Shop Suits, Shirts and Ties Or Get 2 Suit Packages for $1100*",1
Pick the price that matches your budget.,0
My Story,0
ONLY 5 LEFT!,1
436 users are currently active on our website Just now,1
Powered by,0
Perhaps you could...,0
BSA FAC Air Rifles,0
We curate the very best in creative and innovative fashion for the EDM Lifestyle.,0
Free Shipping. Limited Time Only. for orders over $50,1
"By signing up via text, you agree to receive recurring automated promotional and personalized marketing text messages from SPANX®. Msg & data rates apply. View Terms of Use & Privacy Policy.",0
FAMILY SHADE PACK | PICK YOUR PACK,0
Mixed Wine Cases,0
Only 14 left!,1
8 items left,1
Synthesis E-MTB Alloy Rear Wheel,0
Women's Bags,0
Switchers,0
How about one of these hot sellers?,1
Accessibility statement,0
Why I chose this:,0
88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS,1
127 People viewed this product this week,1
Your order is reserved for 09:57 minutes!,1
"Book picture is for illustrative purposes only, actual binding, cover or edition may vary.",0
"Sign up for the latest updates, products and offers",0
"NA-KD, White",0
Want Free Shipping?,1
Your order is reserved for 09:43 minutes!,1
FRAMON #2 Code Machine Offer - Limited time offer!,1
Wondering where to buy White Cloud products in the U.S.? Our distributor list is growing! Bookmark our list and stay tuned!,0
Items reserved for 15:00,1
ONLY 3 LEFT! GET IT NOW!,1
Limited-time Deal,1
Nursing chairs,0
Tick here if you do not want to receive Promotional Offers by Post Tick here if you do wish to receive Promotional Offers by email and/or SMS Tick here if you would like to receive Offers from selected third parties,1
Redeem Gift Certificates,0
Hurry! Only 1 left in size M!!,1
Musical Toys,0
Orthopedic,0
Tony Bianco,0
Shotgun Bore Mops,0
Nightforce New Year Clearance,0
Take time to pay.,0
"Son in Suisun City, United States purchased Commander Lex",1
11 people have purchased this item,1
Welcome Newcomer,0
Only 2 Left!,1
Don't miss out! We've sold 38 in the last few days.,1
New Rifles,0
Only 3 left In Stock,1
"Bringing the latest footwear, ‘fits and accessories from the biggest brands, the JD app makes coppin’ the hottest looks even easier!",0
"NO, I DON'T FEEL LUCKY",1
407 customers have viewed this item recently,1
"Skin Concerns: Treats mild to moderate acne (including whiteheads, blackheads, pimples, and hormonal acne) and excess oiliness.",0
Hand & Foot Skin Care,0
Limited Time Only - Up to 30% OFF Freshwater Plants! SHOP NOW >,1
Choose which store you would like to visit,0
QUICK! ONLY 1 LEFT IN STOCK,1
Carnival Remotes,0
Oxfords & Loafers,0
Disposable Washcloths,0
"No thanks, I'd like 0% off",1
Paul Henry,0
Speed Lace Accessory Kit - Orange,0
Extra Soft Cleansing Wipes,0
"Hurry, before it is gone! Limited time remaining!",1
2 DAYS 13:06:13,1
7 left in stock,1
Lease to Own conditions,0
PAVILION LONG SLEEVE SHIRT DRESS Cornflower Stripe,0
